MONTH,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,REV_ACRFT_HRS_AIRBORNE_610
1,04Q,Tradewind Aviation,D,387
1,04Q,Tradewind Aviation,D,387
1,04Q,Tradewind Aviation,D,547
1,04Q,Tradewind Aviation,D,547
1,04Q,Tradewind Aviation,D,933
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,2658
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,2658
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D,2658
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,624
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,624
1,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,624
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,32
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,104
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D,104
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,4
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,4
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,33
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,33
1,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,37
1,1EQ,"KaiserAir, Inc.",D,166
1,1EQ,"KaiserAir, Inc.",D,166
1,1EQ,"KaiserAir, Inc.",D,166
1,1QQ,City Wings Inc dba Seaflight,D,104
1,1QQ,City Wings Inc dba Seaflight,D,104
1,1QQ,City Wings Inc dba Seaflight,D,104
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,7
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,101
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,101
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,154
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,161
1,1YQ,"Air Charter, Inc d/b/a Air Flamenco",D,262
1,2E,Smokey Bay Air Inc.,D,67
1,2E,Smokey Bay Air Inc.,D,67
1,2E,Smokey Bay Air Inc.,D,130
1,2E,Smokey Bay Air Inc.,D,130
1,2E,Smokey Bay Air Inc.,D,197
1,2JQ,Delux Public Charter LLC,D,3696
1,2JQ,Delux Public Charter LLC,D,3696
1,2JQ,Delux Public Charter LLC,D,3696
1,2LQ,Tropic Ocean Airways LLC,D,186
1,2LQ,Tropic Ocean Airways LLC,D,186
1,2LQ,Tropic Ocean Airways LLC,D,302
1,2LQ,Tropic Ocean Airways LLC,D,302
1,2LQ,Tropic Ocean Airways LLC,D,489
1,2NQ,LIMA NY Corp d/b/a Fly The Whale,D,23
1,2NQ,LIMA NY Corp d/b/a Fly The Whale,D,23
1,2NQ,LIMA NY Corp d/b/a Fly The Whale,D,23
1,2O,Island Air Service,D,75
1,2O,Island Air Service,D,75
1,2O,Island Air Service,D,143
1,2O,Island Air Service,D,143
1,2O,Island Air Service,D,219
1,3AQ,"Maritime Helicopters, Inc.",D,23
1,3AQ,"Maritime Helicopters, Inc.",D,23
1,3AQ,"Maritime Helicopters, Inc.",D,218
1,3AQ,"Maritime Helicopters, Inc.",D,218
1,3AQ,"Maritime Helicopters, Inc.",D,242
1,3BQ,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",D,453
1,3BQ,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",D,453
1,3BQ,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",D,453
1,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",D,228
1,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",D,228
1,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",D,228
1,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,1328
1,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,1328
1,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",D,1328
1,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",I,446
1,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",I,446
1,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",I,446
1,3KQ,"Junipogo, LLC",D,70
1,3KQ,"Junipogo, LLC",D,70
1,3KQ,"Junipogo, LLC",D,70
1,3M,Silver Airways,D,5
1,3M,Silver Airways,D,5
1,3M,Silver Airways,D,419
1,3M,Silver Airways,D,1458
1,3M,Silver Airways,D,1877
1,3M,Silver Airways,D,1882
1,3M,Silver Airways,I,7
1,3M,Silver Airways,I,7
1,3M,Silver Airways,I,452
1,3M,Silver Airways,I,452
1,3M,Silver Airways,I,459
1,4B,Boutique Air,D,553
1,4B,Boutique Air,D,553
1,4B,Boutique Air,D,553
1,4W,Warbelow,D,1
1,4W,Warbelow,D,82
1,4W,Warbelow,D,82
1,4W,Warbelow,D,159
1,4W,Warbelow,D,161
1,4W,Warbelow,D,243
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,38
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,49
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,108
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,222
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,401
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,622
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,730
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,I,36
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,I,36
1,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,I,36
1,5X,United Parcel Service,A,47
1,5X,United Parcel Service,A,5747
1,5X,United Parcel Service,A,5747
1,5X,United Parcel Service,A,5794
1,5X,United Parcel Service,D,6
1,5X,United Parcel Service,D,25215
1,5X,United Parcel Service,D,25215
1,5X,United Parcel Service,D,25220
1,5X,United Parcel Service,L,1990
1,5X,United Parcel Service,L,1990
1,5X,United Parcel Service,L,1990
1,5X,United Parcel Service,P,6236
1,5X,United Parcel Service,P,6236
1,5X,United Parcel Service,P,6236
1,5Y,Atlas Air Inc.,D,42
1,5Y,Atlas Air Inc.,D,4950
1,5Y,Atlas Air Inc.,D,5334
1,5Y,Atlas Air Inc.,D,5334
1,5Y,Atlas Air Inc.,I,56
1,5Y,Atlas Air Inc.,I,9039
1,5Y,Atlas Air Inc.,I,10985
1,5Y,Atlas Air Inc.,I,10985
1,6F,"FOX AIRCRAFT, LLC",D,10
1,6F,"FOX AIRCRAFT, LLC",D,10
1,6F,"FOX AIRCRAFT, LLC",D,616
1,6F,"FOX AIRCRAFT, LLC",D,616
1,6F,"FOX AIRCRAFT, LLC",D,626
1,7H,NEW PACIFIC AIRLINES,D,68
1,7H,NEW PACIFIC AIRLINES,D,68
1,7H,NEW PACIFIC AIRLINES,D,903
1,7H,NEW PACIFIC AIRLINES,D,903
1,7H,NEW PACIFIC AIRLINES,D,970
1,7S,Ryan Air f/k/a Arctic Transportation,D,5
1,7S,Ryan Air f/k/a Arctic Transportation,D,29
1,7S,Ryan Air f/k/a Arctic Transportation,D,34
1,7S,Ryan Air f/k/a Arctic Transportation,D,322
1,7S,Ryan Air f/k/a Arctic Transportation,D,460
1,7S,Ryan Air f/k/a Arctic Transportation,D,782
1,7S,Ryan Air f/k/a Arctic Transportation,D,816
1,8C,Air Transport International,A,39
1,8C,Air Transport International,A,557
1,8C,Air Transport International,A,557
1,8C,Air Transport International,D,7246
1,8C,Air Transport International,D,7408
1,8C,Air Transport International,D,7408
1,8E,Bering Air Inc.,D,354
1,8E,Bering Air Inc.,D,354
1,8E,Bering Air Inc.,D,1566
1,8E,Bering Air Inc.,D,1566
1,8E,Bering Air Inc.,D,1921
1,8V,Wright Air Service,D,8
1,8V,Wright Air Service,D,109
1,8V,Wright Air Service,D,117
1,8V,Wright Air Service,D,1671
1,8V,Wright Air Service,D,1671
1,8V,Wright Air Service,D,1788
1,9E,Endeavor Air Inc.,D,19899
1,9E,Endeavor Air Inc.,D,19899
1,9E,Endeavor Air Inc.,D,19899
1,9E,Endeavor Air Inc.,L,280
1,9E,Endeavor Air Inc.,L,280
1,9E,Endeavor Air Inc.,L,280
1,9K,"Hyannis Air Service, Inc. dba Cape Air",D,33
1,9K,"Hyannis Air Service, Inc. dba Cape Air",D,3819
1,9K,"Hyannis Air Service, Inc. dba Cape Air",D,3852
1,9K,"Hyannis Air Service, Inc. dba Cape Air",D,3852
1,9X,"Southern Airways Express, dba Mokulele Airlines",D,308
1,9X,"Southern Airways Express, dba Mokulele Airlines",D,308
1,9X,"Southern Airways Express, dba Mokulele Airlines",D,4802
1,9X,"Southern Airways Express, dba Mokulele Airlines",D,4802
1,9X,"Southern Airways Express, dba Mokulele Airlines",D,5110
